职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
JAVA后端,股份制企业,20-99人,2019-09-20 14:06:19,本科,软件/互联网开发/系统集成,1-3年,成都卡车铺科技有限公司,12K-18K,成都,加班补助带薪年假节日福利全勤奖五险一金
java架构师,民营,20-99人,2019-09-20 14:20:23,本科,软件/互联网开发/系统集成,3-5年,赫里奥(苏州)科技有限公司,10K-15K,苏州,年底双薪五险一金周末双休带薪年假股票期权
高级java工程师/项目经理,民营,100-499人,2019-09-20 14:23:08,本科,软件/互联网开发/系统集成,3-5年,北京信联科汇科技有限公司,15K-25K,北京,五险一金带薪年假定期体检节日福利周末双休
java开发工程师(区块链方向）,民营,1000-9999人,2019-09-20 14:31:53,本科,软件/互联网开发/系统集成,3-5年,北京捷科智诚科技有限公司,10K-15K,南京-雨花台区,五险一金加班补助定期体检
初级java开发工程师,民营,100-499人,2019-09-20 14:21:25,大专,软件/互联网开发/系统集成,无经验,成都派沃特科技股份有限公司,4K-8K,成都,五险一金年底双薪通讯补助带薪年假节日福利
java软件工程师,民营,100-499人,2019-09-20 14:05:40,大专,软件/互联网开发/系统集成,5-10年,上海携恒信息技术有限公司,15K-20K,上海,五险一金餐补交通补助定期体检弹性工作
JAVA开发工程师,外商独资,10000人以上,2019-09-20 14:30:38,本科,软件/互联网开发/系统集成,3-5年,康成投资(中国)有限公司,15K-25K,上海,年底双薪五险一金餐补带薪年假补充医疗保险
中级java工程师,民营,100-499人,2019-09-20 14:26:03,本科,软件/互联网开发/系统集成,3-5年,北京信联科汇科技有限公司,10K-18K,北京,五险一金带薪年假定期体检节日福利周末双休
java开发工程师,民营,100-499人,2019-09-20 14:25:39,本科,软件/互联网开发/系统集成,3-5年,万普鸣科(北京)软件科技有限公司,14K-24K,北京,五险一金绩效奖金带薪年假全勤奖
Java开发工程师,民营,100-499人,2019-09-20 14:14:06,本科,软件/互联网开发/系统集成,不限,成都启迪信息技术有限公司,6K-10K,成都,五险一金节日福利交通补助周末双休绩效奖金
Javaweb开发工程师,民营,1000-9999人,2019-09-20 14:28:19,大专,软件/互联网开发/系统集成,3-5年,广东华讯工程有限公司,10K-20K,郑州-金水区,五险一金通讯补助带薪年假弹性工作节日福利
高级java工程师(二级单位),国企,1000-9999人,2019-09-20 14:16:08,本科,软件/互联网开发/系统集成,1-3年,江苏省海外企业集团有限公司,8K-10K,南京,五险一金餐补高温补贴节日福利带薪年假
