职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
投资顾问,股份制企业,1000-9999人,2019-09-20 00:52:50,本科,证券/期货/投资管理/服务,3-5年,方正证券股份有限公司,8K-10K,天津,五险一金绩效奖金餐补通讯补助带薪年假
投顾老师助理,民营,1000-9999人,2019-09-20 00:51:35,本科,证券/期货/投资管理/服务,3-5年,天风证券股份有限公司武汉八一路证券营业部,5K-10K,武汉,五险一金周末双休绩效奖金节日福利带薪年假
产品金融部-业务总监,股份制企业,10000人以上,2019-09-20 00:50:49,本科,证券/期货/投资管理/服务,5-10年,国泰君安证券股份有限公司广东分公司,20K-30K,广州-天河区,五险一金绩效奖金周末双休节日福利带薪年假
客户经理（义乌营业部）,国企,1000-9999人,2019-09-20 00:51:34,学历不限,证券/期货/投资管理/服务,不限,中原证券股份有限公司杭州新塘路证券营业部,4K-6K,金华-义乌市,五险一金绩效奖金定期体检
金融市场部-业务经理,股份制企业,10000人以上,2019-09-20 00:50:49,本科,证券/期货/投资管理/服务,1-3年,国泰君安证券股份有限公司广东分公司,15K-20K,广州-天河区,五险一金绩效奖金周末双休节日福利带薪年假
投行项目经理（律师）,股份制企业,10000人以上,2019-09-20 00:50:49,本科,证券/期货/投资管理/服务,3-5年,国泰君安证券股份有限公司广东分公司,15K-20K,广州-天河区,五险一金绩效奖金周末双休节日福利带薪年假
客户经理,国企,10000人以上,2019-09-20 00:51:38,大专,证券/期货/投资管理/服务,不限,中国银河证券股份有限公司广州观虹路证券营业部,4K-6K,广州-黄埔区,五险一金绩效奖金带薪年假定期体检节日福利
机构业务经理,股份制企业,10000人以上,2019-09-20 00:50:05,本科,证券/期货/投资管理/服务,3-5年,国信证券股份有限公司顺德分公司,6K-8K,肇庆-端州区,午餐补贴餐补定期体检节日福利全额公积金
营销总监,股份制企业,1000-9999人,2019-09-20 00:52:50,本科,证券/期货/投资管理/服务,1-3年,方正证券股份有限公司,8K-10K,天津,五险一金绩效奖金餐补通讯补助带薪年假
暑期实习生,上市公司,1000-9999人,2019-09-20 00:52:08,本科,实习生/培训生/储备干部,无经验,中信证券(山东)有限责任公司青岛标山路证券营业部,1K以下,青岛,周末双休
机构业务经理,上市公司,1000-9999人,2019-09-20 00:50:01,本科,证券/期货/投资管理/服务,3-5年,中国银河证券股份有限公司四川分公司,10K-15K,成都,五险一金绩效奖金交通补助通讯补助采暖补贴
投资经理,国企,500-999人,2019-09-20 00:50:47,本科,证券/期货/投资管理/服务,1-3年,中国中投证券有限责任公司深圳分公司,12.5K-17.5K,深圳,
枞阳地区业务拓展代表,国企,1000-9999人,2019-09-20 15:06:09,大专,证券/期货/投资管理/服务,不限,招商证券股份有限公司铜陵石城大道证券营业部,4K-6K,铜陵,交通补助餐补房补员工旅游高温补贴
前台接待,民营,20-99人,2019-09-20 15:01:04,学历不限,行政/后勤/文秘,不限,山西乐帆私募证券投资基金有限公司,4K-6K,太原,五险一金年底双薪带薪年假弹性工作全勤奖
区域经理,国企,10000人以上,2019-09-20 00:51:28,本科,证券/期货/投资管理/服务,3-5年,中国银河证券股份有限公司成都成飞大道证券营业部,8K-10K,成都,五险一金绩效奖金交通补助通讯补助采暖补贴
高级理财经理,民营,1000-9999人,2019-09-20 00:52:37,大专,证券/期货/投资管理/服务,不限,联储证券有限责任公司东莞虎门证券营业部,5K-8K,东莞,五险一金补充医疗保险绩效奖金带薪年假项目奖金
薪酬专员,民营,100-499人,2019-09-20 00:52:46,大专,人力资源,1-3年,上海新兰德证券投资咨询顾问有限公司安徽分公司,3K-4K,合肥,餐补全勤奖五险一金
渠道总监,国企,10000人以上,2019-09-20 00:51:28,本科,证券/期货/投资管理/服务,3-5年,中国银河证券股份有限公司成都成飞大道证券营业部,8K-10K,成都,五险一金绩效奖金交通补助通讯补助采暖补贴
会展策划及执行,国企,500-999人,2019-09-20 00:52:02,大专,广告/会展,不限,华宝证券有限责任公司南京集庆门大街证券营业部,4K-6K,南京,年终分红绩效奖金周末双休
客户经理,上市公司,1000-9999人,2019-09-20 00:50:01,大专,证券/期货/投资管理/服务,不限,招商证券股份有限公司长沙营业部,2K-4K,岳阳,五险一金绩效奖金加班补助带薪年假弹性工作
股转业务总部持续督导岗实习生,国企,1000-9999人,2019-09-20 00:51:57,本科,实习生/培训生/储备干部,无经验,开源证券股份有限公司,1K以下,北京,周末双休
机构业务经理,股份制企业,10000人以上,2019-09-20 00:50:05,本科,证券/期货/投资管理/服务,3-5年,国信证券股份有限公司顺德分公司,6K-8K,中山,午餐补贴餐补定期体检节日福利全额公积金
泉州营业部负责人,民营,1000-9999人,2019-09-20 00:52:42,本科,项目管理/项目协调,3-5年,国盛证券有限责任公司,13K-18K,泉州,五险一金绩效奖金交通补助餐补带薪年假
期货专员,国企,20人以下,2019-09-20 00:51:24,本科,销售业务,1-3年,长江证券股份有限公司无锡建筑西路证券营业部,6K-8K,无锡,五险一金绩效奖金交通补助餐补通讯补助
投资顾问,民营,100-499人,2019-09-20 14:05:02,学历不限,销售业务,不限,上海海能证券投资顾问有限公司,10K-15K,上海-虹口区,五险一金绩效奖金带薪年假定期体检员工旅游
财富顾问,国企,1000-9999人,2019-09-20 15:06:09,本科,证券/期货/投资管理/服务,不限,招商证券股份有限公司铜陵石城大道证券营业部,4K-6K,铜陵,五险一金周末双休绩效奖金房补餐补
客户经理,国企,1000-9999人,2019-09-20 15:05:03,本科,证券/期货/投资管理/服务,1-3年,中航证券有限公司南京分公司,5K-8K,苏州,五险一金年终分红餐补带薪年假弹性工作
理财经理,国企,1000-9999人,2019-09-20 15:06:09,大专,证券/期货/投资管理/服务,无经验,招商证券股份有限公司铜陵石城大道证券营业部,4K-6K,铜陵,餐补交通补助节日福利不加班房补
综合管理岗 ,上市公司,不限,2019-09-20 15:09:02,本科,证券/期货/投资管理/服务,1-3年,财通证券股份有限公司西南分公司,4K-6K,成都,五险一金餐补通讯补助带薪年假补充医疗保险
网络销售,民营,20-99人,2019-09-20 14:19:47,中专,销售业务,1年以下,杭州刻汇科技有限公司,6K-8K,杭州,五险节日福利创业公司弹性工作周末双休
市场部团队管理人员,国企,1000-9999人,2019-09-20 15:06:09,本科,证券/期货/投资管理/服务,3-5年,招商证券股份有限公司铜陵石城大道证券营业部,6K-12K,铜陵,五险一金年底双薪绩效奖金通讯补助带薪年假
销售(底薪3150),民营,500-999人,2019-09-20 15:03:02,学历不限,证券/期货/投资管理/服务,不限,江苏百瑞赢证券咨询有限公司合肥分公司,4K-6K,合肥,全勤奖周末双休绩效奖金节日福利员工旅游
行政专员,其它,20-99人,2019-09-20 14:18:19,学历不限,人力资源,1-3年,深圳市北辰兴信息咨询有限公司,4K-6K,深圳,五险一金节日福利不加班周末双休每年多次调薪
银行客服代表（3500底薪）,民营,1000-9999人,2019-09-20 14:48:15,中专,银行,不限,广东浩传管理服务有限公司石家庄分公司,5K-10K,石家庄,绩效奖金年终分红员工旅游定期团建带薪年假
投资顾问,国企,1000-9999人,2019-09-20 14:05:11,硕士,证券/期货/投资管理/服务,3-5年,东方证券股份有限公司石家庄体育南大街证券营业部,6K-8K,石家庄,五险一金绩效奖金年终分红交通补助餐补
双休+不加班+五险+团建+节日福利+高提成+生日福利+网络销售,民营,20-99人,2019-09-20 14:19:32,学历不限,销售业务,不限,杭州刻汇科技有限公司,10K-15K,杭州,五险节日福利创业公司周末双休定期团建
投资顾问,国企,20人以下,2019-09-20 15:10:01,本科,证券/期货/投资管理/服务,1-3年,华西证券股份有限公司厦门分公司,5.5K-11K,厦门,绩效奖金五险一金周末双休餐补通讯补助
1722DW-柜员（常熟）,民营,1000-9999人,2019-09-20 11:53:44,大专,银行,1-3年,平安普惠融资担保有限公司苏州分公司,4K-6K,苏州,五险一金员工旅游高温补贴节日福利带薪年假
投资顾问,国企,20-99人,2019-09-20 14:08:03,本科,销售业务,1-3年,华西证券股份有限公司长春前进大街证券营业部,8K-10K,长春,五险一金周末双休绩效奖金餐补带薪年假
信用卡催收专员,民营,100-499人,2019-09-20 10:55:57,大专,客服/售前/售后技术支持,不限,深圳市易金金投资资产管理有限公司河南分公司,8K-12K,郑州,绩效奖金全勤奖员工旅游定期团建
风控,民营,20-99人,2019-09-20 10:07:04,大专,证券/期货/投资管理/服务,1-3年,南京莱韵金融信息服务有限公司,4K-6K,南京-江宁区,绩效奖金包住弹性工作员工旅游节日福利
17116S-运营支持岗,民营,1000-9999人,2019-09-20 11:53:44,本科,IT运维/技术支持,1-3年,平安普惠融资担保有限公司苏州分公司,6K-8K,苏州,五险一金高温补贴员工旅游定期体检补充医疗保险
