职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
客户经理,其它,100-499人,2019-09-20 14:26:02,中专,证券/期货/投资管理/服务,不限,北京中方信富投资管理咨询有限公司郑州分公司,8K-10K,郑州-金水区,绩效奖金员工旅游节日福利五险一金补充医疗保险
证券理财经理,国企,1000-9999人,2019-09-20 14:10:10,大专,证券/期货/投资管理/服务,不限,世纪证券有限责任公司武汉徐东大街证券营业部,6K-8K,武汉,五险一金绩效奖金餐补节日福利带薪年假
财富经理（央企编制+五险一金+补充公积金）,国企,10000人以上,2019-09-20 14:14:22,本科,证券/期货/投资管理/服务,1-3年,光大证券股份有限公司上海张杨路证券营业部,8K-10K,上海,五险一金交通补助通讯补助带薪年假弹性工作
高级大区经理,股份制企业,1000-9999人,2019-09-20 14:30:02,学历不限,证券/期货/投资管理/服务,不限,山东齐融股权投资基金管理有限公司,30K-50K,枣庄,周末双休五险一金绩效奖金弹性工作员工旅游
客户经理,民营,20-99人,2019-09-20 13:23:58,学历不限,证券/期货/投资管理/服务,1-3年,北京世联汇富资产管理有限公司,15K-20K,北京,公司重点项目周末双休不加班每年多次调薪定期团建
理财经理,外商独资,1000-9999人,2019-09-20 14:12:24,大专,证券/期货/投资管理/服务,1-3年,康宏财富投资管理(北京)有限公司四川分公司,10K-15K,成都-锦江区,绩效奖金弹性工作周末双休大牛带队
证券客户经理,上市公司,20人以下,2019-09-20 14:46:02,本科,证券/期货/投资管理/服务,不限,恒泰证券股份有限公司重庆泰山大道证券营业部,6K-8K,重庆-渝北区,五险一金绩效奖金包吃餐补带薪年假
客户经理（郑州陇海路营业部）,股份制企业,500-999人,2019-09-20 14:26:17,大专,证券/期货/投资管理/服务,不限,华安证券股份有限公司郑州陇海路证券营业部,6K-12K,郑州,五险一金绩效奖金加班补助餐补带薪年假
客户经理（郑州陇海路营业部）,股份制企业,500-999人,2019-09-20 14:26:17,大专,证券/期货/投资管理/服务,不限,华安证券股份有限公司郑州陇海路证券营业部,6K-12K,郑州,五险一金绩效奖金加班补助餐补带薪年假
客户经理,外商独资,20-99人,2019-09-20 14:19:24,大专,银行,1-3年,威海正方融资租赁有限公司,5K-8K,威海,交通补助餐补房补通讯补助五险一金
招客户经理双休,民营,100-499人,2019-09-20 14:17:05,大专,证券/期货/投资管理/服务,1-3年,山东中丘商务信息咨询有限公司温州鹿城分公司,8K-10K,温州,五险一金不加班节日福利周末双休
证券渠道客户经理,股份制企业,10000人以上,2019-09-20 13:18:02,本科,证券/期货/投资管理/服务,3-5年,安信证券股份有限公司北京复兴门外大街证券营业部,15K-20K,北京,五险一金绩效奖金餐补交通补助定期体检
投资顾问,国企,1000-9999人,2019-09-20 14:05:11,本科,证券/期货/投资管理/服务,1-3年,东莞证券股份有限公司西安高新四路证券营业部,4K-8K,西安,五险一金绩效奖金年终分红交通补助通讯补助
审计经理,其它,20-99人,2019-09-20 13:58:25,本科,财务/审计/税务,3-5年,河北沿海产业投资基金管理有限公司,7K-12K,唐山,五险一金年底双薪餐补交通补助通讯补助
股权销售经理,民营,100-499人,2019-09-20 14:12:38,大专,证券/期货/投资管理/服务,不限,湖南华昌盛控股集团股份有限公司,4K-6K,益阳,五险一金绩效奖金全勤奖带薪年假节日福利
客户经理+无责底薪4000起+高提成+社保,股份制企业,20-99人,2019-09-20 14:11:38,大专,销售业务,1-3年,河南云都科技有限公司,8K-10K,郑州-中原区,创业公司五险一金绩效奖金弹性工作
高级理财经理,民营,1000-9999人,2019-09-20 09:26:50,大专,证券/期货/投资管理/服务,3-5年,北京恒天明泽基金销售有限公司,8K-10K,北京,五险一金绩效奖金年终分红股票期权通讯补助
资深理财经理,民营,1000-9999人,2019-09-20 09:26:50,大专,证券/期货/投资管理/服务,3-5年,北京恒天明泽基金销售有限公司,8K-10K,北京,五险一金绩效奖金年终分红股票期权通讯补助
理财经理,上市公司,10000人以上,2019-09-20 14:21:19,本科,证券/期货/投资管理/服务,不限,中国银河证券股份有限公司上海东宝兴路证券营业部,4K-6K,上海-虹口区,
证券客户经理,国企,1000-9999人,2019-09-20 14:12:39,大专,证券/期货/投资管理/服务,无经验,招商证券股份有限公司福华三路证券营业部,6K-10K,深圳,五险一金绩效奖金带薪年假高温补贴员工旅游
投资顾问,股份制企业,20-99人,2019-09-20 09:29:46,大专,证券/期货/投资管理/服务,1-3年,西安睿博财务咨询管理有限公司,8K-10K,西安,五险一金绩效奖金带薪年假弹性工作员工旅游
高级客户经理（高薪诚聘）,股份制企业,不限,2019-09-20 14:08:35,大专,证券/期货/投资管理/服务,1-3年,中国平安人寿保险股份有限公司阜阳中心支公司成就组,10K-15K,合肥,五险一金绩效奖金弹性工作员工旅游节日福利
招团队经理,民营,100-499人,2019-09-20 14:04:01,大专,证券/期货/投资管理/服务,1-3年,山东中丘商务信息咨询有限公司温州鹿城分公司,10K-15K,温州,五险一金不加班节日福利周末双休
投行经理,民营,20-99人,2019-09-20 14:25:56,本科,证券/期货/投资管理/服务,3-5年,陕西如松企业服务有限公司,10K-15K,西安,五险一金年底双薪绩效奖金周末双休全勤奖
理财经理,上市公司,1000-9999人,2019-09-20 14:11:09,本科,证券/期货/投资管理/服务,1-3年,招商证券股份有限公司深圳前海路证券营业部,4K-8K,深圳,弹性工作带薪年假补充医疗保险高温补贴节日福利
客户经理,国企,100-499人,2019-09-20 14:08:09,本科,证券/期货/投资管理/服务,不限,西部期货有限公司,4K-8K,大连,五险一金绩效奖金通讯补助补充医疗保险定期体检
证券业务经理,国企,20人以下,2019-09-20 14:13:09,本科,证券/期货/投资管理/服务,1-3年,中国银河证券股份有限公司合肥祁门路证券营业部,4K-6K,合肥,五险一金绩效奖金年终分红交通补助通讯补助
私人银行经理,民营,1000-9999人,2019-09-20 09:26:50,本科,证券/期货/投资管理/服务,3-5年,北京恒天明泽基金销售有限公司,10K-15K,北京,五险一金绩效奖金年终分红股票期权通讯补助
投资顾问（双休+高提成+晋升通道）,民营,20-99人,2019-09-20 14:14:20,大专,证券/期货/投资管理/服务,不限,南京东正投资管理顾问有限公司,5K-10K,南京-江宁区,周末双休五险一金绩效奖金年终分红带薪年假
理财经理,股份制企业,10000人以上,2019-09-20 11:57:46,学历不限,证券/期货/投资管理/服务,不限,中国平安人寿保险股份有限公司上海分公司黄浦西藏中路营销服务部,15K-20K,上海,绩效奖金年终分红弹性工作
平安银行/保险/证券客户经理,上市公司,10000人以上,2019-09-20 13:49:05,大专,证券/期货/投资管理/服务,1-3年,中国平安人寿保险股份有限公司江西分公司红谷滩卓越区团队,8K-10K,南昌,绩效奖金五险一金年终分红周末双休带团队
高级、资深理财经理 ,其它,20人以下,2019-09-20 13:45:05,本科,证券/期货/投资管理/服务,不限,宏信证券有限责任公司常州太湖东路证券营业部,6K-12K,常州,五险一金餐补通讯补助带薪年假定期体检
营业部副总经理 ,其它,20人以下,2019-09-20 13:45:05,本科,证券/期货/投资管理/服务,3-5年,宏信证券有限责任公司常州太湖东路证券营业部,15K-20K,常州,五险一金餐补通讯补助带薪年假定期体检
机构客户经理,股份制企业,20人以下,2019-09-20 13:44:06,本科,证券/期货/投资管理/服务,不限,东北证券股份有限公司台州广场西路证券营业部,4K-6K,台州,五险一金绩效奖金带薪年假定期体检不加班
客户经理,国企,1000-9999人,2019-09-20 14:16:10,本科,证券/期货/投资管理/服务,不限,国元证券长沙芙蓉中路营业部,4K-6K,长沙,五险一金弹性工作员工旅游节日福利绩效奖金
投资顾问助理,上市公司,1000-9999人,2019-09-20 14:17:07,本科,证券/期货/投资管理/服务,不限,天风证券股份有限公司天津分公司,4K-6K,天津,五险一金餐补通讯补助带薪年假员工旅游
客户经理 10000-15000元,民营,20-99人,2019-09-20 13:07:02,大专,证券/期货/投资管理/服务,1-3年,杭州新意达供应链有限公司,10K-15K,杭州,五险一金交通补助通讯补助定期体检
理财经理,上市公司,1000-9999人,2019-09-20 14:24:02,大专,证券/期货/投资管理/服务,不限,中国银河证券股份有限公司成都益州大道证券营业部,6K-8K,成都,五险一金绩效奖金交通补助通讯补助带薪年假
客户经理,国企,100-499人,2019-09-20 13:07:33,大专,证券/期货/投资管理/服务,不限,华安证券股份有限公司武汉沿江大道证券营业部,4K-6K,武汉,五险一金绩效奖金交通补助定期体检带薪年假
实习生（投资管理部）,民营,500-999人,2019-09-20 14:19:05,本科,实习生/培训生/储备干部,无经验,民生电商控股(深圳)有限公司,2K-4K,北京,包吃五险一金节日福利周末双休大牛带队
理财经理高级理财经理,股份制企业,100-499人,2019-09-20 14:03:34,本科,证券/期货/投资管理/服务,3-5年,新时代信托股份有限公司,20K-30K,西安,五险一金年终分红餐补通讯补助带薪年假
佛山营业部-理财经理,国企,1000-9999人,2019-09-20 14:13:17,本科,证券/期货/投资管理/服务,不限,中国银河证券股份有限公司广东分公司,6K-12K,佛山,五险一金绩效奖金带薪年假员工旅游节日福利
客户经理,国企,500-999人,2019-09-20 13:44:03,大专,证券/期货/投资管理/服务,不限,万和证券股份有限公司绵阳跃进路证券营业部,6K-8K,绵阳,五险一金绩效奖金餐补通讯补助带薪年假
综合金融销售专员（银行/保险/投资）,民营,1000-9999人,2019-09-20 15:04:07,大专,销售管理,1-3年,中国平安人寿保险股份有限公司广州市珠江支公司营业部,10K-20K,广州,绩效奖金弹性工作补充医疗保险员工旅游不加班
理财经理,国企,500-999人,2019-09-20 14:17:47,本科,证券/期货/投资管理/服务,不限,华福证券有限责任公司哈尔滨鸿翔路证券营业部,4K-6K,哈尔滨,五险一金绩效奖金通讯补助采暖补贴带薪年假
招商证券龙口营业部 客户经理,国企,10000人以上,2019-09-20 14:26:18,本科,证券/期货/投资管理/服务,无经验,招商证券股份有限公司龙口南山路证券营业部,3K-5K,烟台-龙口市,五险一金绩效奖金周末双休节日福利高温补贴
金融客户经理,国企,100-499人,2019-09-20 14:27:12,大专,证券/期货/投资管理/服务,1-3年,中国银河证券股份有限公司重庆建新东路证券营业部,6K-12K,重庆,五险一金带薪年假
客户经理,上市公司,1000-9999人,2019-09-20 14:19:02,本科,证券/期货/投资管理/服务,不限,方正证券股份有限公司周口中州路证券营业部,5K-10K,周口,绩效奖金五险一金节日福利带薪年假周末双休
理财经理,民营,20-99人,2019-09-20 13:46:04,大专,证券/期货/投资管理/服务,1-3年,浙江星未文化艺术有限公司,15K-20K,杭州,
客户经理,民营,100-499人,2019-09-20 13:17:01,本科,证券/期货/投资管理/服务,不限,深圳市大众瑞安财富管理有限公司石家庄分公司,3K-5K,石家庄-桥西区,五险一金带薪年假员工旅游节日福利
高级客户经理,国企,100-499人,2019-09-20 13:07:33,大专,证券/期货/投资管理/服务,不限,华安证券股份有限公司武汉沿江大道证券营业部,6K-12K,武汉,五险一金通讯补助带薪年假
平安综合金融业务经理,股份制企业,不限,2019-09-20 13:38:04,学历不限,证券/期货/投资管理/服务,1-3年,中国平安人寿保险股份有限公司六安中心支公司最强王者队,2K-4K,上海,绩效奖金带薪年假弹性工作交通补助五险一金
