职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
新媒体运营专员,民营,100-499人,2019-09-20 00:50:45,本科,互联网产品/运营管理,1-3年,贵州诚语电子有限公司,4K-6K,贵阳,餐补五险一金公司重点项目绩效奖金加班补助
运营专员,民营,100-499人,2019-09-20 00:53:00,大专,市场,1-3年,合肥安心家政服务有限公司,4K-6K,合肥,节日福利免费停车餐补
新媒体运营推广专员,民营,100-499人,2019-09-20 15:04:35,学历不限,互联网产品/运营管理,不限,河南快抖文化传媒有限公司,4K-6K,郑州,餐补全勤奖五险一金交通补助
微信公众号运营专员,民营,100-499人,2019-09-20 00:51:27,大专,互联网产品/运营管理,1-3年,苏州蔡顺实业有限公司,4K-6K,苏州,五险一金节日福利员工旅游
销售运营助理/专员,民营,20-99人,2019-09-20 00:50:46,大专,销售行政/商务,1年以下,潍坊润泽环保水处理设备有限公司,3K-6K,潍坊,节日福利绩效奖金全勤奖五险一金通讯补助
商品运营专员,民营,500-999人,2019-09-20 00:50:24,本科,互联网产品/运营管理,不限,广州至爱智家科技有限公司,6K-9K,广州-天河区,
亚马逊欧洲站运营专员,不限,20-99人,2019-09-20 00:51:28,大专,互联网产品/运营管理,1-3年,宁波布兰德电子商务有限公司,5K-8K,宁波-鄞州区,五险一金餐补加班补助年底双薪
速卖通销售/速卖通业务/速卖通运营专员,民营,100-499人,2019-09-20 00:52:59,大专,互联网产品/运营管理,1-3年,深圳市天海蓝科技有限公司,6K-8K,深圳-龙华新区,健身俱乐部绩效奖金五险一金节日福利员工旅游
内容运营专员,民营,20-99人,2019-09-20 00:51:38,本科,互联网产品/运营管理,3-5年,天津建经工程管理有限公司,5K-6K,天津,全勤奖带薪年假节日福利绩效奖金五险一金
互联网运营专员,上市公司,100-499人,2019-09-20 00:51:34,本科,互联网产品/运营管理,1-3年,天津创意星球网络科技股份有限公司,4K-8K,天津,周末双休餐补节日福利五险一金带薪年假
微商城运营专员,民营,20人以下,2019-09-20 00:51:47,大专,互联网产品/运营管理,不限,浙江飞创体育文化发展有限公司,4K-8K,杭州-下城区,年终分红绩效奖金股票期权弹性工作带薪年假
社群运营专员,股份制企业,20-99人,2019-09-20 00:51:46,大专,互联网产品/运营管理,1-3年,北京友朋互动科技有限公司,7K-9K,北京,创业公司14薪全勤奖带薪年假五险一金
Amazon Ebay 亚马逊销售运营英语专员,民营,20人以下,2019-09-20 14:08:03,大专,采购/贸易,不限,深圳万立胜科技有限公司,4K-6K,深圳-宝安区,五险一金绩效奖金年终分红员工旅游节日福利
新媒体运营专员,民营,1000-9999人,2019-09-20 00:51:19,大专,互联网产品/运营管理,1-3年,郑州绿业元农业科技有限公司,4K-6K,郑州,绩效奖金包吃餐补通讯补助带薪年假
亚马逊运营专员,民营,1000-9999人,2019-09-20 00:51:20,本科,采购/贸易,1-3年,深圳耐微科技有限公司,6K-8K,深圳-龙岗区,节日福利五险一金绩效奖金交通补助餐补
新媒体运营专员 ,民营,100-499人,2019-09-20 00:51:35,本科,互联网产品/运营管理,1-3年,成都市语言家翻译社,4K-6K,成都,五险一金年底双薪绩效奖金带薪年假节日福利
B2C亚马逊运营专员,民营,20-99人,2019-09-20 00:51:00,大专,采购/贸易,1-3年,广州市新凯户外用品制造有限公司,6K-8K,广州-白云区,绩效奖金全勤奖通讯补助带薪年假员工旅游
新媒体运营专员,民营,不限,2019-09-20 08:59:02,本科,互联网产品/运营管理,1-3年,吉林省创新创业孵化运营有限公司,3.5K-4.5K,长春,五险一金加班补助节日福利员工旅游周末双休
电商运营专员,民营,20-99人,2019-09-20 00:52:52,大专,互联网产品/运营管理,不限,宁夏嘉适元物联科技有限公司,3.5K-5K,银川,员工旅游五险一金定期团建
