职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
美工设计,民营,20-99人,2019-09-20 00:52:24,大专,艺术/设计,1-3年,威海盛世骏达实业有限公司,3.5K-6K,威海,周末双休健身俱乐部五险一金定期体检高温补贴
天猫淘宝美工拍照摄影,不限,20-99人,2019-09-20 14:16:03,大专,艺术/设计,1-3年,河南尚典包装设计有限公司,4K-6K,郑州,五险一金绩效奖金加班补助全勤奖包住
美术编辑/美工设计,其它,1000-9999人,2019-09-20 14:27:22,大专,艺术/设计,不限,昆山长颈鹿文化有限公司,4K-6K,昆山,五险一金弹性工作
美工,民营,100-499人,2019-09-20 14:44:44,大专,艺术/设计,不限,河南银华锐进电子商务有限公司,4K-6K,郑州,每年多次调薪员工旅游节日福利带薪年假
美工设计,民营,20-99人,2019-09-20 14:18:32,大专,软件/互联网开发/系统集成,1-3年,烟台叽叽喳喳网络技术有限公司,2K-4K,烟台,五险一金绩效奖金交通补助带薪年假
美工/编辑/页面UI设计师,股份制企业,100-499人,2019-09-20 14:51:49,学历不限,艺术/设计,不限,郑州未之来软件科技有限公司,6K-8K,郑州,14薪每年多次调薪五险一金周末双休绩效奖金
淘宝美工设计/办公环境好,民营,20-99人,2019-09-20 14:02:41,中专,硬件开发,不限,深圳市慧智游戏网络有限公司,2K-4K,深圳-南山区,节日福利不加班周末双休五险一金年底双薪
美工/平面设计,股份制企业,20-99人,2019-09-20 14:10:48,大专,软件/互联网开发/系统集成,不限,沈阳凡辰科技有限公司,4K-6K,沈阳,周末双休五险一金年底双薪绩效奖金带薪年假
美工,民营,20-99人,2019-09-20 14:44:02,大专,艺术/设计,不限,泉州壹零五贸易有限公司,3K-5K,泉州,包住年底双薪全勤奖年终分红五险
美工设计,民营,20-99人,2019-09-20 14:02:29,大专,艺术/设计,3-5年,中金泰富(武汉)电子商务股份有限公司,4K-6K,武汉,带薪年假节日福利绩效奖金包住
美工,民营,100-499人,2019-09-20 14:06:08,本科,艺术/设计,1-3年,北京恒远恒信科技发展有限公司,6K-8K,北京-朝阳区,五险一金年底双薪绩效奖金餐补通讯补助
亚马逊精修美工,民营,500-999人,2019-09-20 14:03:33,大专,软件/互联网开发/系统集成,1-3年,深圳市亚声威格科技有限公司,6K-10K,深圳,五险一金加班补助大牛带队每年多次调薪员工旅游
ps美工设计/UI平面设计师助理,民营,20-99人,2019-09-20 14:44:20,大专,艺术/设计,不限,江苏润广宣网络技术有限公司,4K-6K,苏州,五险一金年底双薪加班补助带薪年假交通补助
美工,股份制企业,500-999人,2019-09-20 14:04:31,大专,艺术/设计,不限,郑州市神龙泵业有限公司,3K-6K,郑州-高新区,五险一金绩效奖金通讯补助带薪年假节日福利
电商美工,民营,1000-9999人,2019-09-20 00:51:22,大专,互联网产品/运营管理,1-3年,集韵化妆品(上海)有限公司,5K-10K,上海,五险一金绩效奖金
