职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
电子半导体销售工程师,不限,20-99人,2019-09-20 12:30:44,大专,其他,1-3年,上海辛倍克电子科技有限公司,15K-20K,上海,
电子硬件工程师,外商独资,100-499人,2019-09-20 09:17:46,学历不限,其他,不限,Antal International,20K-30K,武汉,
电子元器件工程师,民营,500-999人,2019-09-20 09:59:51,大专,电子/电器/半导体/仪器仪表,1-3年,深圳市鼎科实业有限公司,5K-10K,深圳-南山区,五险一金绩效奖金包住通讯补助节日福利
电机控制/电力电子/嵌入式工程师,民营,20-99人,2019-09-20 10:38:03,本科,汽车制造,3-5年,上海飞龙新能源汽车部件有限公司,10K-20K,上海,周末双休五险一金绩效奖金员工旅游定期团建
电子硬件工程师,民营,20人以下,2019-09-20 10:45:10,本科,硬件开发,无经验,沈阳博旭电子科技有限公司,1K-1.5K,沈阳,餐补大牛带队
电子工程师,民营,20-99人,2019-09-19 00:50:18,大专,电子/电器/半导体/仪器仪表,1-3年,无锡永友电子有限公司,3.5K-6K,无锡,餐补节日福利绩效奖金
电子软件工程师,合资,100-499人,2019-09-20 10:40:34,学历不限,软件/互联网开发/系统集成,3-5年,埃泰克汽车电子(芜湖)有限公司,5K-10K,芜湖,五险一金带薪年假定期体检免费班车
电力电子研发工程师,民营,100-499人,2019-09-20 09:25:08,硕士,软件/互联网开发/系统集成,1-3年,北京时代锦鸿投资有限公司,15K-20K,北京,五险一金绩效奖金房补通讯补助定期体检
驻厂电子工艺工程师,上市公司,500-999人,2019-09-20 12:11:01,大专,生产管理/运营,5-10年,北京万集科技股份有限公司,6K-12K,深圳-宝安区,五险一金年底双薪绩效奖金交通补助餐补
电子技术研发工程师,事业单位,20-99人,2019-09-20 11:46:33,硕士,电子/电器/半导体/仪器仪表,不限,北京大学(天津滨海)新一代信息技术研究院,8K-12K,天津,五险一金绩效奖金交通补助餐补通讯补助
