职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
SMT生产组长,民营,1000-9999人,2019-09-20 00:51:55,中专,生产管理/运营,3-5年,深圳市益光实业有限公司,6K-8K,深圳,五险一金包住餐补带薪年假
嵌入式软件开发,民营,20人以下,2019-09-20 00:52:59,本科,软件/互联网开发/系统集成,1-3年,南京苏京智能机器人科技有限公司,8K-10K,南京,五险一金绩效奖金员工旅游节日福利年终分红
业务员（番禺+高薪+舒适环境+晋升空间）,民营,20-99人,2019-09-20 00:51:03,大专,销售业务,1-3年,广州思喏电子科技有限公司,8K-10K,广州-番禺区,绩效奖金年终分红全勤奖员工旅游节日福利
销售工程师销售经理,民营,20-99人,2019-09-20 12:44:19,学历不限,销售业务,无经验,上海卉远电子科技有限公司,6K-10K,上海,五险一金绩效奖金全勤奖餐补弹性工作
机械调试工程师,外商独资,100-499人,2019-09-20 00:52:01,大专,机械设计/制造/维修,3-5年,美国邦纳工程国际有限公司上海代表处,6K-8K,苏州-工业园区,五险一金交通补助餐补房补通讯补助
财务助理,股份制企业,100-499人,2019-09-20 00:51:52,大专,财务/审计/税务,1-3年,江门市龙翔光电科技有限公司,2K-4K,江门,加班补助全勤奖包住餐补五险一金
长沙外贸业务员,民营,20-99人,2019-09-20 00:52:42,大专,采购/贸易,不限,长沙市七洲博洲科技有限公司,4K-6K,长沙,年底双薪节日福利绩效奖金五险一金年终分红
生技课长,外商独资,1000-9999人,2019-09-20 00:51:12,大专,机械设计/制造/维修,3-5年,康而富精密电子(宝应)有限公司,10K-15K,扬州,五险一金绩效奖金全勤奖包吃包住
韩国语翻译-南京,民营,20-99人,2019-09-20 00:51:41,学历不限,翻译（口译与笔译）,无经验,南京联信自动化科技有限公司烟台分公司,6K-8K,南京-浦口区,创业公司五险一金包住弹性工作
总经理助理,民营,500-999人,2019-09-20 00:50:28,大专,行政/后勤/文秘,1-3年,大连双泰科技有限公司,3K-6K,大连,
招投标专员,民营,20-99人,2019-09-20 00:51:22,大专,项目管理/项目协调,3-5年,青岛晶智亮化工程有限公司,4K-6K,青岛-市北区（新行政区）,五险一金交通补助通讯补助高温补贴免费停车
会计（全盘内帐）,事业单位,20-99人,2019-09-20 00:50:59,大专,财务/审计/税务,1-3年,珠海运控瑞奇数控科技有限公司,4K-6K,珠海-斗门区,住房补贴全勤奖包吃包住
安防技术工程师,股份制企业,100-499人,2019-09-20 00:51:15,学历不限,软件/互联网开发/系统集成,3-5年,湖北泰跃卫星技术发展股份有限公司,6K-8K,武汉,周末双休五险一金带薪年假节日福利年底双薪
应用支持工程师,外商独资,500-999人,2019-09-20 00:51:32,本科,IT运维/技术支持,5-10年,贝莱胜电子(杭州)有限公司,7K-10K,杭州-滨江区,
仓库主管/仓库经理,民营,100-499人,2019-09-20 00:51:56,大专,物流/仓储,3-5年,南京沿途电子商务有限公司,7K-8K,淮安-清浦区,五险一金年底双薪绩效奖金全勤奖餐补
销售代表业务员,合资,20-99人,2019-09-20 00:52:32,大专,销售业务,1-3年,郑州捷顺科技有限公司,8K-10K,郑州,绩效奖金年底双薪五险一金包住节日福利
机器人嵌入式软/硬件开发（提供住宿）,民营,20人以下,2019-09-20 00:52:59,大专,硬件开发,3-5年,南京苏京智能机器人科技有限公司,8K-10K,南京,五险一金绩效奖金员工旅游节日福利年终分红
跟单客服,股份制企业,100-499人,2019-09-20 00:51:52,大专,采购/贸易,不限,江门市龙翔光电科技有限公司,2K-4K,江门,加班补助全勤奖包住餐补五险一金
钳工机械装配/钳工/自动化设备,民营,100-499人,2019-09-20 00:50:38,中技,技工/操作工,1-3年,深圳市时纬自动化有限公司,6K-8K,深圳-龙华新区,五险一金绩效奖金加班补助交通补助餐补
系统硬件工程师,民营,20-99人,2019-09-20 00:50:35,本科,硬件开发,3-5年,上海耕岩智能科技有限公司,15K-25K,上海,五险一金绩效奖金创业公司弹性工作带薪年假
质量工程师,民营,100-499人,2019-09-20 00:52:07,中专,质量管理/安全防护,不限,青岛泰泓轨道装备有限公司,4K-6K,青岛-城阳区,五险一金绩效奖金包吃带薪年假免费班车
工程CAD绘图员（机电类）,民营,20-99人,2019-09-20 10:26:36,大专,土木/建筑/装修/市政工程,1-3年,深圳市源茂升科技有限公司,5.5K-6K,深圳,五险一金加班补助全勤奖交通补助通讯补助
技术工程师,股份制企业,20-99人,2019-09-20 00:51:42,中专,技工/操作工,1-3年,广州南泽电子科技有限公司,5K-8K,广州-番禺区,年底双薪绩效奖金加班补助交通补助房补
