职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
股票交易员,民营,20人以下,2019-09-20 10:51:05,本科,证券/期货/投资管理/服务,1-3年,深圳市金友创智资产管理有限公司,8K-10K,郑州-郑东新区 ,五险一金绩效奖金年终分红包吃定期体检
分公司部门级负责人（产品、渠道类）,股份制企业,100-499人,2019-09-20 14:22:21,本科,保险,5-10年,阳光财产保险股份有限公司江苏省分公司,10K-20K,南京-雨花台区,五险一金绩效奖金带薪年假节日福利高温补贴
业务拓展专员,上市公司,1000-9999人,2019-09-20 13:30:14,本科,销售业务,3-5年,北京网库信息技术股份有限公司,13K-18K,北京,五险一金全勤奖交通补助餐补带薪年假
综合管理、综合柜员、账户管理岗,股份制企业,100-499人,2019-09-20 10:54:29,本科,证券/期货/投资管理/服务,1-3年,国泰君安证券股份有限公司江苏分公司,6K-8K,南京-秦淮区,五险一金绩效奖金房补带薪年假补充医疗保险
汽车金融/分期（高薪+晋升）,股份制企业,1000-9999人,2019-09-20 10:57:24,大专,汽车销售与服务,1-3年,中国平安人寿保险股份有限公司河南分公司鹏远营销部,8K-10K,郑州-金水区,五险一金每年多次调薪员工旅游定期体检不加班
客服专员+带薪年假+五险一金,外商独资,10000人以上,2019-09-20 14:07:05,中专,客服/售前/售后技术支持,不限,捷信消费金融有限公司,4K-6K,天津-和平区,节日福利五险一金绩效奖金带薪年假定期体检
消费金融产品经理,民营,1000-9999人,2019-09-20 14:03:41,本科,互联网产品/运营管理,3-5年,深圳中业兴融互联网金融服务有限公司,15K-30K,深圳-南山区,弹性工作定期体检五险一金全勤奖节日福利
销售,民营,20人以下,2019-09-20 09:34:34,中专,销售业务,不限,四川拓源建业工程咨询有限公司,6K-12K,成都,五险一金年底双薪绩效奖金年终分红全勤奖
银行风险管理催收专员,民营,100-499人,2019-09-20 10:51:17,大专,银行,1-3年,北京迈鸿信息咨询有限公司云南分公司,6K-8K,昆明,五险一金绩效奖金年终分红弹性工作全勤奖
高级Java开发工程师（国际业务）,上市公司,1000-9999人,2019-09-20 14:45:49,学历不限,软件/互联网开发/系统集成,不限,深圳市长亮科技股份有限公司,15K-25K,深圳-南山区,五险一金年底双薪年终分红交通补助通讯补助
销售经理,民营,500-999人,2019-09-20 10:54:18,大专,销售管理,1-3年,深圳市国方国际货运代理有限公司,15K-20K,深圳,五险一金年底双薪绩效奖金全勤奖带薪年假
营运业务办理,股份制企业,100-499人,2019-09-20 10:53:30,本科,证券/期货/投资管理/服务,1-3年,国泰君安证券股份有限公司江苏分公司,6K-8K,南京-秦淮区,五险一金绩效奖金房补带薪年假补充医疗保险
数据分析师双休无销售,民营,20-99人,2019-09-20 09:29:35,中专,证券/期货/投资管理/服务,不限,唐山海中鑫诚科技有限公司,4K-6K,唐山,五险一金全勤奖
业务经理（医美分期）,民营,100-499人,2019-09-20 10:47:29,大专,销售业务,3-5年,上海星窈信息科技有限公司,6K-8K,重庆-江北区,五险一金年底双薪绩效奖金年终分红带薪年假
外汇操盘手（提供岗前培训）,民营,100-499人,2019-09-20 14:41:03,大专,证券/期货/投资管理/服务,不限,上海松岛投资管理有限公司,8K-15K,上海,每年多次调薪周末双休带薪年假节日福利免费停车
城市医养管家业务负责人,外商独资,500-999人,2019-09-20 14:16:41,本科,医院/医疗/护理,10年以上,沿海地产投资（中国）有限公司,40K-80K,深圳-福田区,绩效奖金全勤奖交通补助餐补通讯补助
柜台业务岗（储备投资顾问）,国企,1000-9999人,2019-09-20 14:26:14,本科,证券/期货/投资管理/服务,不限,招商证券股份有限公司无锡新生路证券营业部,10K-15K,无锡-梁溪区,五险一金绩效奖金餐补带薪年假补充医疗保险
榆林项目经理,民营,20-99人,2019-09-20 10:02:13,大专,律师/法务/合规,3-5年,陕西汇丰资产管理有限公司,6K-8K,西安-曲江新区,
销售客户经理信贷（江北、博罗）,民营,1000-9999人,2019-09-20 09:54:13,中专,销售业务,不限,中安信业创业投资有限公司,6K-8K,惠州,五险一金员工旅游定期体检交通补助通讯补助
客户经理（金融/祁县）,合资,1000-9999人,2019-09-20 11:40:19,大专,销售管理,不限,狮桥融资租赁（中国）有限公司,2K-3K,晋中-祁县,五险一金试用期全额14薪
期货交易员（ 期货操盘手）,民营,20人以下,2019-09-20 10:22:08,大专,证券/期货/投资管理/服务,1年以下,成都考伊斯企业咨询有限公司,5K-10K,沈阳,五险一金年底双薪年终分红节日福利不加班
销售代表客户经理（惠城）,民营,1000-9999人,2019-09-20 09:59:20,中专,销售业务,不限,中安信业创业投资有限公司,5K-10K,惠州-惠城区,五险一金交通补助餐补通讯补助带薪年假
储备金融主管,股份制企业,10000人以上,2019-09-20 10:35:39,大专,销售管理,1-3年,中国平安人寿保险股份有限公司广东分公司天河营销服务部张立如,11K-18K,广州,周末双休年底双薪绩效奖金带团队弹性工作
期货交易员（期货操盘手）,民营,20人以下,2019-09-20 10:35:16,大专,证券/期货/投资管理/服务,1年以下,成都考伊斯企业咨询有限公司,5K-10K,银川,五险一金年底双薪年终分红节日福利周末双休
期货交易员（ 期货操盘手）,民营,20人以下,2019-09-20 10:22:08,大专,证券/期货/投资管理/服务,1年以下,成都考伊斯企业咨询有限公司,5K-10K,太原,五险一金年底双薪年终分红节日福利不加班
高新聘催收（信用卡）,民营,100-499人,2019-09-20 10:33:07,大专,银行,1-3年,北京迈鸿信息咨询有限公司云南分公司,8K-10K,昆明,五险一金绩效奖金年终分红弹性工作全勤奖
