职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
WEB前端开发/JS/html5 [可实习],民营,20-99人,2019-09-20 14:10:33,大专,软件/互联网开发/系统集成,不限,青岛青软科技有限公司,4K-8K,青岛,周末双休五险一金年底双薪全勤奖定期体检
WEB前端工程师,民营,100-499人,2019-09-20 09:59:00,本科,软件/互联网开发/系统集成,3-5年,北京时代创信科技有限公司,12K-18K,北京,五险一金年终分红全勤奖节日福利周末双休
Web前端开发工程师,外商独资,1000-9999人,2019-09-20 10:41:05,本科,软件/互联网开发/系统集成,3-5年,卓越置业集团有限公司,10K-15K,深圳-福田区,五险一金年底双薪交通补助餐补通讯补助
web前端工程师,民营,1000-9999人,2019-09-20 14:26:23,大专,软件/互联网开发/系统集成,1-3年,安徽七天教育科技有限公司,8K-12K,合肥,周末双休创业公司节日福利员工旅游股票期权
web前端高级工程师,民营,20人以下,2019-09-20 10:56:13,大专,软件/互联网开发/系统集成,3-5年,深圳木头科技有限公司,13K-20K,深圳,五险一金年底双薪绩效奖金带薪年假餐补
软件工程师WEB前端开发,民营,20-99人,2019-09-20 10:20:01,本科,软件/互联网开发/系统集成,3-5年,武汉舒马赫科技有限公司,8K-12K,武汉,创业公司每年多次调薪周末双休股票期权全勤奖
web前端开发专员/助理,民营,100-499人,2019-09-20 09:22:55,大专,电信/通信技术开发及应用,不限,湖北阿百云健康科技服务有限公司,4K-6K,武汉,周末双休包住五险一金绩效奖金全勤奖
web前端开发工程师,民营,500-999人,2019-09-20 13:36:03,大专,软件/互联网开发/系统集成,1-3年,石家庄橙芽网络技术有限公司,4K-8K,石家庄,五险一金加班补助周末双休员工旅游节日福利
web前端开发工程师,上市公司,1000-9999人,2019-09-20 09:19:38,本科,软件/互联网开发/系统集成,3-5年,上海钢银电子商务股份有限公司,15K-20K,上海,周末双休五险一金定期体检免费班车员工旅游
web前端开发,民营,500-999人,2019-09-20 12:48:01,本科,软件/互联网开发/系统集成,1-3年,石家庄橙芽网络技术有限公司,4K-8K,石家庄,五险一金加班补助周末双休员工旅游节日福利
Web前端工程师/前端开发工程师,民营,20-99人,2019-09-20 09:59:08,本科,软件/互联网开发/系统集成,1-3年,郑州博雅讯科技有限公司,5K-8K,郑州,五险一金绩效奖金全勤奖带薪年假员工旅游
移动web前端开发工程师,民营,20-99人,2019-09-20 11:08:08,本科,软件/互联网开发/系统集成,1-3年,四川创想众智电子科技有限公司,8K-10K,成都,周末双休五险一金年底双薪绩效奖金带薪年假
web前端 小程序开发,其它,20人以下,2019-09-20 14:19:15,本科,软件/互联网开发/系统集成,1-3年,阳光易购(湖南)科技有限公司,6K-8K,长沙,五险一金绩效奖金股票期权带薪年假创业公司
web前端工程师,民营,20-99人,2019-09-20 14:12:28,学历不限,软件/互联网开发/系统集成,3-5年,山西华慧信息技术有限公司,4K-6K,太原,年终分红免费停车定期团建包吃带薪年假
web前端开发（可接受应届生和实习生）,民营,20-99人,2019-09-20 11:39:36,大专,机械设计/制造/维修,不限,智云云科(深圳)科技有限公司,6K-8K,深圳-龙华新区,五险一金年底双薪包住带薪年假餐补
Web前端开发助理（提供住宿、双休）,股份制企业,500-999人,2019-09-20 11:47:32,大专,软件/互联网开发/系统集成,不限,深圳市华大智创科技有限公司,4K-6K,深圳-宝安区,五险一金年底双薪14薪绩效奖金弹性工作
软件web前端助理（6K起）无经验亦可,民营,20-99人,2019-09-20 13:15:04,大专,软件/互联网开发/系统集成,不限,深圳市豪泰动漫科技有限公司,4K-6K,深圳-南山区,包住绩效奖金弹性工作加班补助五险一金
WEB前端/开发工程师助理,民营,100-499人,2019-09-20 09:10:08,大专,能源/矿产/地质勘查,不限,武汉育豪体育文化传播有限公司,4.5K-7K,武汉-洪山区,五险一金包住全勤奖带薪年假节日福利
web前端,其它,100-499人,2019-09-20 10:34:02,本科,软件/互联网开发/系统集成,3-5年,南京太亚科技股份有限公司,7K-9K,南京-浦口区,五险一金带薪年假高温补贴节日福利周末双休
web前端开发/网页制作,民营,500-999人,2019-09-20 12:06:28,学历不限,软件/互联网开发/系统集成,不限,河南亚菲品牌策划有限公司,4K-6K,郑州,
Web前端开发工程师,合资,20-99人,2019-09-20 09:40:02,本科,软件/互联网开发/系统集成,3-5年,英麦尔(南京)科技有限公司,10K-16K,南京-栖霞区,五险一金绩效奖金年终分红带薪年假补充医疗保险
web前端游戏开发 ,民营,100-499人,2019-09-20 13:34:06,大专,软件/互联网开发/系统集成,3-5年,厦门乘三乘五网络科技有限公司,15K-30K,天津,五险一金弹性工作绩效奖金员工旅游节日福利
web前端工程师,股份制企业,20-99人,2019-09-20 11:34:48,本科,软件/互联网开发/系统集成,1-3年,北京蜂云科创信息技术有限公司,8K-15K,北京,通讯补助定期体检五险一金补充医疗保险带薪年假
WEB前端开发专员,民营,20-99人,2019-09-20 14:38:39,中专,软件/互联网开发/系统集成,不限,广州广移广告传媒有限公司,5K-7K,广州-越秀区,
web前端开发/可接受实习生,民营,100-499人,2019-09-20 09:14:36,大专,机械设计/制造/维修,不限,湖北华奥星空体育产业联盟发展有限公司,4K-6K,武汉,周末双休五险一金全勤奖节日福利包住
