职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
急聘物业客服主管,民营,100-499人,2019-09-20 14:17:11,大专,客服/售前/售后技术支持,3-5年,长沙黄金创业园置业有限公司,4K-6K,长沙,带薪年假餐补通讯补助高温补贴节日福利
急聘物业客服专员,民营,100-499人,2019-09-20 14:09:17,大专,客服/售前/售后技术支持,不限,长沙黄金创业园置业有限公司,2K-4K,长沙,交通补助餐补通讯补助弹性工作定期体检
武进遥观-林津花园物业客服,股份制企业,1000-9999人,2019-09-20 10:52:39,中技,客服/售前/售后技术支持,1-3年,新城悦物业,3K-3.5K,常州-武进区,五险一金绩效奖金年终分红包吃带薪年假
办公楼会议服务,民营,1000-9999人,2019-09-20 14:26:36,学历不限,客服/售前/售后技术支持,不限,河南六合物业管理服务有限公司,3.5K-4K,郑州-郑东新区 ,节日福利包住包吃
物业项目经理,民营,100-499人,2019-09-20 14:25:25,大专,物业管理,5-10年,普宁市华尔街投资发展有限公司,10K-15K,揭阳,包住包吃带薪年假
物业人力行政负责人,国企,100-499人,2019-09-20 14:24:26,本科,人力资源,5-10年,首创(天津)置业管理有限公司,10K-15K,天津,五险一金带薪年假定期团建公司重点项目工作环境舒适
圈层服务专员,民营,20-99人,2019-09-20 14:22:38,中专,商超/酒店/娱乐管理/服务,1-3年,上海天行健商场经营管理有限公司,5K-7K,上海-静安区,五险一金带薪年假周末双休
物业经理,民营,100-499人,2019-09-20 14:20:36,大专,物业管理,3-5年,康美健康小镇投资(通城)有限公司,4K-8K,咸宁,五险一金包吃绩效奖金带薪年假定期体检
物业公司市场总监/市场拓展总监,民营,500-999人,2019-09-20 11:17:44,本科,物业管理,3-5年,沈阳明德物业服务有限公司,10K-15K,沈阳,五险一金项目奖金周末双休带薪年假
物业经理助理,民营,100-499人,2019-09-20 14:19:34,大专,项目管理/项目协调,1-3年,河南万达置业集团有限公司,4K-6K,周口,五险一金绩效奖金包吃包住节日福利
物业收费员,民营,20-99人,2019-09-20 14:17:07,学历不限,物业管理,1-3年,陕西天平物业有限公司,2K-4K,西安,五险一金包吃节日福利加班补助全勤奖
物业经理,国家机关,100-499人,2019-09-20 14:16:37,大专,物业管理,5-10年,河北中道房地产开发有限责任公司,6K-8K,石家庄-高邑县,包吃交通补助定期体检通讯补助高温补贴
物业项目经理,民营,1000-9999人,2019-09-20 14:16:22,中技,项目管理/项目协调,3-5年,江苏万园物业管理有限公司,6K-12K,金华-东阳市,五险一金年底双薪加班补助全勤奖餐补
物业维修主管（曼海宁南区）,民营,20-99人,2019-09-20 14:15:38,高中,机械设计/制造/维修,3-5年,深圳市潜龙物业管理有限公司曼海宁花园北区服务中心,4K-6K,深圳-龙华新区,五险一金年底双薪包吃包住节日福利
物业客服主管,其它,20-99人,2019-09-20 14:15:02,中专,客服/售前/售后技术支持,3-5年,北京未来创客科技有限责任公司,5K-7K,北京,周末双休五险一金带薪年假节日福利绩效奖金
物业主管（吴中）,合资,20-99人,2019-09-20 14:15:06,大专,物业管理,3-5年,苏州信福鸿企业管理咨询有限公司,6K-8K,苏州-吴中区,五险一金年底双薪节日福利高温补贴定期体检
物业客服主管,民营,1000-9999人,2019-09-20 14:14:42,大专,物业管理,1-3年,贵州绿居房地产开发有限责任公司,6K-8K,遵义,绩效奖金带薪年假五险一金包住免费班车
开电梯服务人员,民营,20-99人,2019-09-20 14:15:19,学历不限,物业管理,1-3年,重庆超霸港渝广场市场经营管理有限公司,2K-4K,重庆,年底双薪绩效奖金加班补助全勤奖餐补
物业客服,民营,100-499人,2019-09-20 14:14:16,中专,客服/售前/售后技术支持,1-3年,临泉佳源房地产开发有限公司,2.6K-3.5K,阜阳-临泉县,包吃包住年终奖金
物业经理,合资,1000-9999人,2019-09-20 10:07:50,学历不限,物业管理,不限,绿城物业服务集团有限公司金华分公司,7K-14K,金华,五险一金绩效奖金餐补带薪年假定期体检
物业总经理,民营,500-999人,2019-09-20 14:12:07,大专,高级管理,5-10年,山东中润置业有限公司,20K-30K,济南,五险一金绩效奖金定期体检节日福利
客服主管（物业）,国企,100-499人,2019-09-20 14:12:16,大专,客服/售前/售后技术支持,3-5年,中铁建物业管理有限公司贵阳分公司  ,6K-8K,贵阳,五险一金餐补带薪年假高温补贴节日福利
物业杂工,民营,20-99人,2019-09-20 14:11:14,学历不限,物业管理,1年以下,深圳市洪韦盛实业有限公司,3.5K-4.5K,深圳,五险一金公司重点项目包住餐补
物业客服/楼栋管家/物业专员,股份制企业,1000-9999人,2019-09-20 14:11:07,中专,客服/售前/售后技术支持,不限,武汉建银华盛集团股份有限公司,30K-50K,武汉,年底双薪绩效奖金包吃房补带薪年假
物业管理专员,民营,1000-9999人,2019-09-20 14:10:36,大专,物业管理,1-3年,顺丰速运有限公司,6K-8K,武汉,五险一金年底双薪绩效奖金餐补带薪年假
物业项目经理,其它,20-99人,2019-09-20 14:11:09,中专,物业管理,3-5年,淄博银亿置业有限公司,4K-6K,淄博,五险一金包住交通补助房补通讯补助
前台服务员,国企,100-499人,2019-09-20 14:10:03,高中,行政/后勤/文秘,不限,宁波蓝色海湾旅游景区管理有限公司,2K-4K,宁波,五险一金通讯补助带薪年假定期体检
弘生活物业-管培生,民营,1000-9999人,2019-09-20 14:08:25,大专,实习生/培训生/储备干部,不限,南京红太阳房地产开发有限公司,4K-6K,南京-浦口区,五险一金年底双薪包吃交通补助通讯补助
物业电工,民营,20-99人,2019-09-20 14:06:35,中专,物业管理,1-3年,深圳市潜龙物业管理有限公司曼海宁花园北区服务中心,4K-6K,深圳-龙华新区,五险一金年底双薪绩效奖金包吃包住
保利爱家——央企保利旗下全资子公司招聘物业销售顾问,国企,100-499人,2019-09-20 10:00:24,学历不限,物业管理,不限,保利爱家房地产经纪有限公司重庆分公司,6K-8K,重庆,五险一金绩效奖金大牛带队创业公司每年多次调薪
物业项目经理,民营,100-499人,2019-09-20 14:06:26,大专,物业管理,5-10年,河北乾城房地产开发有限公司,10K-15K,保定-新市区,节日福利五险司龄包住通讯补助
物业租赁销售,其它,20-99人,2019-09-20 14:05:35,大专,房地产开发/经纪/中介,1年以下,郑州东升房地产营销策划有限公司,8K-10K,郑州,创业公司年终分红绩效奖金带薪年假弹性工作
物业管理副总,民营,100-499人,2019-09-20 14:06:26,本科,物业管理,10年以上,深圳市翠林物业管理有限公司,25K-35K,深圳,五险一金年底双薪餐补包住全勤奖
客服专业经理（物业管理）,民营,1000-9999人,2019-09-20 14:05:27,本科,客服/售前/售后技术支持,5-10年,上海永升物业管理有限公司,6K-8K,唐山,五险一金周末双休试用期全额带薪年假交通补助
物业经理,股份制企业,100-499人,2019-09-20 14:05:11,大专,物业管理,5-10年,青岛安徒生小镇发展有限公司,10K-15K,青岛,五险一金年底双薪绩效奖金包吃带薪年假
工程专业经理（物业管理方向）,民营,1000-9999人,2019-09-20 14:04:39,大专,土木/建筑/装修/市政工程,5-10年,上海永升物业管理有限公司,6K-8K,唐山,五险一金周末双休试用期全额带薪年假交通补助
涌金物业项目经理,国企,100-499人,2019-09-20 14:04:18,大专,项目管理/项目协调,3-5年,山东涌金物业有限公司,10K-15K,莱芜,包住五险一金绩效奖金国企不加班
物业项目经理,民营,100-499人,2019-09-20 14:02:17,大专,物业管理,5-10年,河北乾城房地产开发有限公司,10K-15K,保定-高碑店市,节日福利五险司龄包住通讯补助
物业主管,民营,100-499人,2019-09-20 14:01:36,大专,物业管理,1-3年,长沙黄金创业园置业有限公司,4K-5K,长沙,五险一金包住餐补通讯补助高温补贴
物业工程维修员,民营,20-99人,2019-09-20 14:01:40,中专,物业管理,3-5年,湖南湘联置业有限公司,3.2K-4K,长沙,创业公司五险一金包住餐补
运营专员（房地产物业租赁项目）,股份制企业,100-499人,2019-09-20 13:46:04,大专,物业管理,1-3年,深圳市动产资本管理有限公司,5K-8K,深圳,每年多次调薪五险一金年底双薪绩效奖金带薪年假
物业总经理,合资,100-499人,2019-09-20 10:10:28,大专,物业管理,3-5年,杭州蛋生网络科技有限公司,15K-20K,杭州,餐补员工旅游弹性工作股票期权绩效奖金
物业管家,民营,100-499人,2019-09-20 10:05:29,学历不限,物业管理,不限,厦门唐人物业管理有限公司,3.5K-4.5K,厦门-思明区,餐补高温补贴节日福利带薪年假包住
客户服务助理（购物中心服务台）,外商独资,100-499人,2019-09-20 11:01:01,中专,物业管理,不限,和记黄埔地产管理有限公司深圳分公司,4K-6K,深圳,五险一金年终分红加班补助带薪年假补充医疗保险
物业客服（包吃包住）,国企,20-99人,2019-09-20 10:47:27,大专,客服/售前/售后技术支持,1-3年,湖北鄂勤物业管理服务有限公司,4K-5K,武汉,五险一金年底双薪绩效奖金加班补助全勤奖
万科物业-人事专员（中新大厦）,上市公司,1000-9999人,2019-09-20 13:41:32,本科,人力资源,1-3年,杭州万科物业服务有限公司,5K-8K,杭州-余杭区,五险一金带薪年假定期体检补充医疗保险节日福利
物业监控员（闸北、普陀浦东等）,民营,100-499人,2019-09-20 10:39:31,高中,物业管理,不限,上海安荣物业管理服务有限公司,4K-4.5K,上海-静安区,年底双薪餐补定期体检高温补贴节日福利
物业水电工程主管,合资,1000-9999人,2019-09-20 10:07:50,学历不限,物业管理,不限,绿城物业服务集团有限公司金华分公司,4K-6K,金华,五险一金交通补助餐补带薪年假定期体检
物业管家,民营,100-499人,2019-09-20 10:21:26,学历不限,物业管理,1-3年,北京诚智慧中物业管理有限公司,3K-5K,北京,五险一金餐补定期体检加班补助年底双薪
物业经理,民营,100-499人,2019-09-20 10:06:48,学历不限,物业管理,1-3年,吉林省良友集团有限公司,4K-6K,辽源,五险一金加班补助交通补助通讯补助
高级商住项目物业负责人,民营,10000人以上,2019-09-20 11:20:41,本科,物业管理,5-10年,深圳华强集团有限公司,20K-30K,深圳,五险一金包吃带薪年假定期体检节日福利
物业经理,民营,100-499人,2019-09-20 10:34:45,大专,物业管理,5-10年,山东鹊华投资发展有限公司,6K-8K,济南,
商业广场 物业运营管理,国企,20-99人,2019-09-20 11:17:07,本科,物业管理,5-10年,上海浦房置业有限公司,6K-8K,上海-浦东新区,
物业经理,合资,1000-9999人,2019-09-20 10:07:50,学历不限,物业管理,不限,绿城物业服务集团有限公司金华分公司,7K-14K,衢州,五险一金绩效奖金餐补带薪年假定期体检
物业管理督察员/五险一金,民营,100-499人,2019-09-20 11:43:15,学历不限,物业管理,不限,成都萌想云天科技有限责任公司,4K-6K,成都-锦江区,五险一金带薪年假弹性工作
物业经理,合资,1000-9999人,2019-09-20 10:07:50,学历不限,物业管理,不限,绿城物业服务集团有限公司金华分公司,7K-14K,杭州,五险一金绩效奖金餐补带薪年假定期体检
万科物业-保安主管（钱江新城）,上市公司,1000-9999人,2019-09-20 11:34:23,大专,社区/居民/家政服务,3-5年,杭州万科物业服务有限公司,6K-8K,杭州,节日福利带薪年假定期体检通讯补贴餐补
万科物业-保洁主管（江干丁桥）,上市公司,1000-9999人,2019-09-20 11:34:24,大专,物业管理,1-3年,杭州万科物业服务有限公司,5K-6K,杭州,节日福利带薪年假定期体检通讯补贴餐补
万科物业—工程主管（江干丁桥）,上市公司,1000-9999人,2019-09-20 11:34:24,大专,物业管理,3-5年,杭州万科物业服务有限公司,7K-9K,杭州,节日福利带薪年假定期体检五险一金通讯补贴
客户服务经理（深圳）,股份制企业,100-499人,2019-09-20 10:47:21,大专,物业管理,1-3年,青岛海信房地产股份有限公司,薪资面议,深圳,五险一金带薪年假定期体检高温补贴节日福利
