职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
银行会计柜员（民生银行莆田分行）,民营,500-999人,2019-09-18 00:52:37,本科,银行,不限,民生电商控股(深圳)有限公司,3K-5K,莆田-城厢区,五险一金绩效奖金餐补带薪年假节日福利
银行离场柜员,股份制企业,100-499人,2019-09-19 09:45:06,中专,银行,不限,云南博海科技有限公司,2.5K-5K,曲靖,全勤奖公司重点项目定期团建项目奖金周末双休
平安银行移动柜员,股份制企业,1000-9999人,2019-09-11 07:05:35,大专,银行,不限,中国平安人寿保险股份有限公司内蒙古分公司呼和浩特市锡林南路营销服务部资深导师培训部,8K-10K,呼和浩特,绩效奖金弹性工作全勤奖定期体检员工旅游
银行公积金柜员可转编制（罗湖）,民营,10000人以上,2019-09-20 10:00:11,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-罗湖区,五险一金
银行综合柜员[上海],外商独资,20-99人,2019-09-03 18:09:05,本科,银行,1-3年,第一商业银行股份有限公司上海分行,5.5K-9K,上海,五险一金年底双薪带薪年假加班补助
工商银行，公积金柜员，就近分配,银行,100-499人,2019-09-15 16:09:53,大专,银行,不限,深圳市昆盛企业管理咨询有限公司,2K-4K,深圳,五险一金年底双薪绩效奖金高温补贴节日福利
银行综合柜员[上海分行],外商独资,20-99人,2019-09-14 00:50:06,本科,银行,1年以下,第一商业银行股份有限公司上海分行,5.5K-7K,上海,五险一金年底双薪带薪年假加班补助
国有银行公积金柜员（宝安）,民营,10000人以上,2019-09-20 09:58:52,大专,银行,不限,银雁科技服务集团股份有限公司,3.5K-4K,深圳-宝安区,五险一金绩效奖金定期体检免费班车定期团建
银行综合柜员（汝阳）(J12171),股份制企业,500-999人,2019-09-19 11:31:18,大专,银行,不限,郑州银雁金融配套服务有限公司洛阳分公司,2K-4K,洛阳-汝阳县,绩效奖金全勤奖定期团建交社保五险一金
张家口银行沧州分行派遣制综合柜员,民营,1000-9999人,2019-09-13 11:22:21,本科,银行,不限,河北大唐人力资源服务有限公司,1.8K-2.8K,沧州,五险一金节日福利
许都地区银行综合柜员,民营,100-499人,2019-09-20 09:55:57,大专,银行,无经验,河南实诺金融服务有限公司,2K-3K,许昌,节日福利绩效奖金五险
许昌市银行综合柜员,民营,100-499人,2019-09-20 09:55:56,大专,银行,不限,河南实诺金融服务有限公司,2K-4K,许昌,绩效奖金节日福利五险
银行公积金柜员（宝安流塘）,民营,10000人以上,2019-09-20 10:01:41,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-宝安区,五险一金绩效奖金带薪年假免费班车员工旅游
