浦东,1室1厅1厨1卫,中楼层(共6层),35.16,1994,精装,无,205,141,1,13,35,2915,193.5
浦东,2室1厅1厨1卫,高楼层(共6层),58.34,未知,简装,无,430,90,1,12,10,1536,423
浦东,2室1厅1厨1卫,中楼层(共6层),71.31,1994,简装,无,353,168,1,11,12,1041,345
浦东,2室2厅1厨1卫,高楼层(共12层),90.81,2012,精装,有,820,3,1,14,12,157,820
浦东,1室2厅1厨1卫,高楼层(共24层),61.58,2006,精装,有,460,46,0,39,74,3761,435
浦东,2室1厅1厨1卫,中楼层(共6层),52.96,1994,简装,无,250,186,1,49,49,3824,243
浦东,1室1厅1厨1卫,中楼层(共7层),54.37,1995,精装,有,335,261,1,4,11,2400,329.5
浦东,2室1厅1厨1卫,低楼层(共6层),59.58,1994,精装,无,300,28,0,4,4,516,278
浦东,1室1厅1厨1卫,高楼层(共6层),46.27,1995,精装,无,235,44,1,9,18,983,230
浦东,2室1厅1厨1卫,高楼层(共6层),73.98,2007,简装,无,325,368,1,46,48,4623,324
浦东,1室1厅1厨1卫,中楼层(共6层),47.21,1995,简装,无,205,366,1,80,44,7762,196
浦东,2室1厅1厨1卫,高楼层(共6层),57.54,1989,精装,无,305,15,1,2,14,366,300
浦东,1室0厅1厨1卫,高楼层(共6层),32.49,1987,简装,无,165,53,1,1,9,451,158
浦东,2室1厅1厨1卫,低楼层(共7层),52.69,1996,其他,有,308,1,0,0,1,13,303.9
浦东,1室1厅1厨1卫,高楼层(共14层),52.07,2007,简装,有,188,3,0,1,2,109,183.6
浦东,2室0厅1厨1卫,低楼层(共6层),57,1988,简装,无,285,117,1,22,34,1770,270
浦东,2室2厅1厨2卫,低楼层(共32层),102.08,2001,精装,有,870,3,0,10,4,98,860
浦东,2室1厅1厨1卫,高楼层(共6层),51.16,1993,精装,无,280,271,1,21,70,3693,270
浦东,2室1厅1厨1卫,高楼层(共12层),73.71,2010,简装,有,230,21,0,8,13,801,226
浦东,2室1厅1厨1卫,中楼层(共5层),44.87,1988,简装,无,75,6,1,2,1,227,75
浦东,3室2厅1厨1卫,高楼层(共6层),94.2,1995,简装,无,290,299,1,4,36,3163,280
浦东,2室2厅1厨1卫,高楼层(共5层),84.96,2004,简装,无,360,624,1,7,34,543,347
浦东,1室1厅1厨1卫,低楼层(共14层),58,2014,毛坯,有,138,6,0,3,3,130,135
浦东,1室1厅1厨1卫,高楼层(共6层),52.79,2007,简装,无,185,64,1,11,16,910,183
浦东,3室1厅1厨1卫,高楼层(共6层),82.69,1995,精装,有,480,2,1,3,3,59,470
浦东,1室1厅1厨1卫,低楼层(共6层),47.36,1996,简装,无,245,173,1,15,8,1029,235
浦东,3室2厅1厨2卫,高楼层(共6层),72.75,2010,精装,无,345,14,0,5,21,574,318
浦东,1室1厅1厨1卫,中楼层(共6层),43.68,未知,精装,无,260,4,0,1,10,126,255
浦东,1室1厅1厨1卫,高楼层(共6层),53.1,2007,精装,无,290,64,1,22,54,2232,286
浦东,1室0厅1厨1卫,高楼层(共5层),37.23,1953,精装,无,130,50,1,6,88,1519,123
