ok,msg,created_at,ids,mid,can_edit,raw_text,source,user_description,user_follow_count,user_gender,user_id,user_mbrank,user_mbtype,user_profile_url,user_profile_image_url,user_screen_name,user_statuses_count,user_urank,user_verified,user_veridied_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385959908884989,4385959908884989,False,//@遇见吴杰臻:她情商超高，估计相处起来很愉悦//@熊蘑菇菇咚咚锵锵锵锵锵锵:事业 颜值 经济 确实是实力,iPhone客户端,,233,f,6444138408,0,0,https://m.weibo.cn/u/6444138408?uid=6444138408,https://tvax3.sinaimg.cn/crop.0.0.1242.1242.180/00726WMgly8fn4en0wh8lj30yi0yidhz.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385944633576633,4385944633576633,False,转发微博,微博 weibo.com,人生不是一种享乐，而是一桩十分沉重的工作。,771,f,3220482692,1,2,https://m.weibo.cn/u/3220482692?uid=3220482692,https://tva3.sinaimg.cn/crop.0.0.180.180.180/bff4aa84jw1e8qgp5bmzyj2050050aa8.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385924386973870,4385924386973870,False,转发微博,微博 weibo.com,[爱你][爱你]累就休息吧～睡觉安宁的样子想看一辈子～你咋不来我床上呢，[笑cry]我欢迎你啊,339,f,5040327090,0,0,https://m.weibo.cn/u/5040327090?uid=5040327090,https://tva1.sinaimg.cn/crop.0.0.170.170.180/005v6Hkejw1ednfe4dm5bj304q04q744.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385918137962665,4385918137962665,False,不管怎样，真心相爱就行，祝福[爱你],微博 weibo.com,,206,f,6580298853,0,0,https://m.weibo.cn/u/6580298853?uid=6580298853,https://tvax2.sinaimg.cn/crop.0.0.199.199.180/007bkgktly1fwcuc0c5msj305k05k743.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385897544168691,4385897544168691,False,转发微博,微博 weibo.com,是想赶紧锻炼锻炼饿的快再去吃别的好吃的么,354,f,5770131027,0,0,https://m.weibo.cn/u/5770131027?uid=5770131027,https://tva2.sinaimg.cn/crop.0.0.180.180.180/006iuSFtjw1eyc7bhforjj3050050t9a.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385862743684023,4385862743684023,False,转发微博,微博 weibo.com,时间就是能力等等发展的地盘。,236,f,3988673426,0,0,https://m.weibo.cn/u/3988673426?uid=3988673426,https://tva3.sinaimg.cn/crop.0.0.170.170.180/edbe5392jw1eco83641w6j204q04qmwz.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385848868623621,4385848868623621,False,转发微博,微博 weibo.com,我能说有一次吃烤蚕蛹吃到蛾子了吗！,1120,f,3301807671,0,0,https://m.weibo.cn/u/3301807671?uid=3301807671,https://tva2.sinaimg.cn/crop.0.0.200.200.180/c4cd9637jw1ebjaz5b24wj205k05k3yp.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385840736058677,4385840736058677,False,转发微博,微博 weibo.com,,244,f,3901648098,1,2,https://m.weibo.cn/u/3901648098?uid=3901648098,https://tva3.sinaimg.cn/crop.0.0.220.220.180/e88e6ce2jw1ean2bgbbcsj2064064q2x.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385818975932789,4385818975932789,False,转发微博,微博 weibo.com,,243,f,3802315911,0,0,https://m.weibo.cn/u/3802315911?uid=3802315911,https://tva1.sinaimg.cn/crop.0.0.180.180.180/e2a2bc87jw1eeq8vey26kj2050050aa5.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385813036734407,4385813036734407,False,转发微博,微博 weibo.com,,372,f,3494610257,0,0,https://m.weibo.cn/u/3494610257?uid=3494610257,https://tva2.sinaimg.cn/crop.0.0.180.180.180/d04b8551jw1e8qgp5bmzyj2050050aa8.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
