赛迪恩视保姆诚聘助教,其它,20-99人,2019-09-10 00:50:17,学历不限,教育/培训,不限,日照市东港区秦楼街道赛迪恩视力保健中心,6K-8K,日照,五险一金绩效奖金全勤奖餐补节日福利
外企急招保姆/保洁员/月嫂,其它,100-499人,2019-09-11 16:48:47,学历不限,社区/居民/家政服务,不限,郑州沙鸥文化传媒有限公司,30K-50K,威海,带薪年假包吃包住
保姆,民营,100-499人,2019-09-10 14:54:53,学历不限,社区/居民/家政服务,不限,山东锦泽实业集团有限公司,2.9K-3K,济南-高新区,每年多次调薪绩效奖金节日福利员工旅游包住
保姆家政,民营,20-99人,2019-09-17 16:32:14,学历不限,社区/居民/家政服务,不限,烟台欧莎莱进出口有限公司,2K-4K,烟台-芝罘区,绩效奖金年终分红带薪年假补充医疗保险定期体检
外遣项目年薪50万雇主直聘司机/安保/家政/保姆出国人员,民营,20-99人,2019-09-16 10:12:02,学历不限,社区/居民/家政服务,不限,天津正华达建筑劳务有限公司,30K-50K,沈阳,包吃包住加班补助年底双薪带薪年假
保姆做饭师/就近/6-8k,民营,20-99人,2019-09-11 20:34:55,学历不限,社区/居民/家政服务,不限,合肥羽墨文化传播有限公司,6K-8K,苏州,五险一金年底双薪绩效奖金餐补全勤奖
高级保姆,民营,100-499人,2019-09-16 09:10:26,大专,教育/培训,1-3年,黑龙江省玉影建筑安装工程有限公司,5K-10K,哈尔滨,包吃
保姆,民营,20-99人,2019-09-18 16:45:38,学历不限,社区/居民/家政服务,不限,深圳新金领教育咨询有限公司,8K-10K,河池,包吃包住加班补助员工旅游节日福利
6k起招保姆月嫂无经验可培训,民营,100-499人,2019-09-12 10:41:54,学历不限,社区/居民/家政服务,不限,深圳市金蚂蚁装饰工程有限公司,6.5K-10K,深圳,五险一金全勤奖包吃包住绩效奖金
7千找住家不住家保姆,民营,100-499人,2019-09-19 10:13:37,学历不限,社区/居民/家政服务,不限,成都市若爱家庭服务有限公司,8K-10K,成都,全勤奖年底双薪加班补助包吃包住
外遣项目年薪50万雇主直聘安保/家政/保姆出国人员,民营,100-499人,2019-09-12 15:21:16,学历不限,社区/居民/家政服务,不限,重庆汇博嘉福广告传媒有限公司,30K-50K,西安,全勤奖包吃包住交通补助加班补助
厨房钟点工、保姆.月嫂有无经验均可,民营,100-499人,2019-09-17 10:19:54,学历不限,其他,不限,深圳市好满意家政服务有限公司,4K-6K,深圳-龙华新区,
保姆幼师全职家教,民营,100-499人,2019-09-16 00:50:02,大专,教育/培训,1-3年,黑龙江省玉影建筑安装工程有限公司,5K-10K,哈尔滨,包吃包住
保姆家政 厨师,民营,20-99人,2019-09-19 10:34:37,学历不限,烹饪/料理/食品研发,1-3年,天津福隆海运集团有限公司,4K-6K,天津,包吃弹性工作周末双休年底双薪试用期全额
保安保姆保洁,股份制企业,不限,2019-09-20 07:42:14,高中,社区/居民/家政服务,不限,北京华玉汇鑫家庭服务有限公司,4K-8K,北京,包吃包住无试用期加班补助免费班车
保姆,国企,20-99人,2019-09-18 17:50:05,学历不限,社区/居民/家政服务,不限,《时代书画报》社有限公司,4K-6K,北京,包吃包住
保姆月嫂无经验可培训,民营,100-499人,2019-09-17 10:19:45,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6.5K-12K,深圳-龙华新区,五险一金包吃包住弹性工作补充医疗保险
6000急招保姆无经验 ,民营,100-499人,2019-09-18 10:16:14,学历不限,社区/居民/家政服务,不限,成都市若爱家庭服务有限公司,3.5K-6.5K,成都,五险一金全勤奖加班补助包住包吃
急招保姆.月嫂.家政服务人员,民营,100-499人,2019-09-17 10:19:50,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6K-8K,深圳-龙华新区,五险一金年底双薪绩效奖金全勤奖包吃
保姆招商,股份制企业,100-499人,2019-09-05 17:46:46,大专,客服/售前/售后技术支持,1-3年,北京好孕妈妈教育咨询有限公司,5K-8K,广州,五险一金包住餐补加班补助弹性工作
住家保姆,国企,20-99人,2019-09-18 17:50:18,学历不限,社区/居民/家政服务,不限,《时代书画报》社有限公司,4K-6K,北京,包吃包住
急招家政保姆/新熟手均可,民营,100-499人,2019-09-17 10:19:52,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6K-12K,深圳-龙华新区,定期体检补充医疗保险弹性工作包吃包住
若爱家政急招住家保姆,民营,100-499人,2019-09-18 10:14:03,学历不限,社区/居民/家政服务,不限,成都市若爱家庭服务有限公司,2K-4K,成都,年底双薪包住包吃全勤奖定期体检
保姆培训师,民营,100-499人,2019-09-07 15:39:45,中专,人力资源,3-5年,厦门好邦伲家政服务有限公司,4K-6K,深圳-福田区,五险一金绩效奖金带薪年假
8千急招有无经验保姆/护工/月嫂/育婴师/老人护理,民营,100-499人,2019-09-19 15:33:51,学历不限,社区/居民/家政服务,不限,深圳市英港多多家政服务有限公司,6K-12K,深圳,年底双薪包住包吃带薪年假加班补助
保姆护工 包吃住 ,股份制企业,1000-9999人,2019-09-04 10:06:30,学历不限,社区/居民/家政服务,不限,点米立德(深圳)科技有限公司,4K-6K,成都-成华区,五险一金绩效奖金试用期全额高温补贴不加班
急招家政人员/保姆/钟点工数名,民营,100-499人,2019-09-17 10:19:53,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6K-12K,深圳-龙华新区,定期体检补充医疗保险弹性工作包吃包住
急招有无经验保姆/护工/月嫂/育婴师/老人护理 月入过万不是梦,民营,100-499人,2019-09-19 15:34:03,学历不限,社区/居民/家政服务,不限,深圳市英港多多家政服务有限公司,7K-10K,深圳,年底双薪包住包吃带薪年假加班补助
外遣项目年薪50万雇主直聘安保/家政/保姆出国人员,民营,20-99人,2019-09-16 10:12:33,学历不限,社区/居民/家政服务,无经验,天津正华达建筑劳务有限公司,30K-50K,北京,包吃包住加班补助年底双薪带薪年假
保姆,民营,20-99人,2019-09-09 13:20:02,学历不限,社区/居民/家政服务,不限,黑龙江虫马虫义信息技术咨询有限公司,2K-4K,哈尔滨-香坊区,五险一金绩效奖金加班补助全勤奖包吃
