外遣项目年薪50万雇主直聘安保/家政/保姆出国人员,民营,20-99人,2019-09-16 10:12:33,学历不限,社区/居民/家政服务,无经验,天津正华达建筑劳务有限公司,30K-50K,北京,包吃包住加班补助年底双薪带薪年假
保姆,民营,20-99人,2019-09-09 13:20:02,学历不限,社区/居民/家政服务,不限,黑龙江虫马虫义信息技术咨询有限公司,2K-4K,哈尔滨-香坊区,五险一金绩效奖金加班补助全勤奖包吃
家政员/保姆/阿姨,民营,100-499人,2019-09-06 10:45:56,高中,行政/后勤/文秘,不限,北京阿姨来了信息科技有限公司,4K-6K,合肥,包住包吃全勤奖餐补
外遣项目年薪50万雇主直聘安保/家政/保姆出国人员,民营,20-99人,2019-09-16 10:12:32,学历不限,社区/居民/家政服务,不限,天津正华达建筑劳务有限公司,30K-50K,成都,包吃包住加班补助年底双薪带薪年假
家庭保姆,民营,100-499人,2019-09-17 10:19:53,学历不限,社区/居民/家政服务,不限,深圳市好满意家政服务有限公司,6K-12K,深圳-龙华新区,定期体检补充医疗保险弹性工作包吃包住
急招家政保姆/新熟手均可,民营,100-499人,2019-09-16 17:52:08,学历不限,社区/居民/家政服务,不限,帝赫尼家居(深圳)有限公司,6K-12K,深圳,五险一金包吃包住全勤奖弹性工作
新西兰/铲车司机/保姆/钢筋工/木工/瓦工/电焊工/电工/厨师/漆工,其它,100-499人,2019-09-17 20:17:09,学历不限,技工/操作工,1年以下,辽宁速达出入境服务有限公司,15K-20K,牡丹江,五险一金全勤奖包吃包住房补
新西兰/铲车司机/保姆/钢筋工/木工/瓦工/电焊工/电工/厨师/漆工,其它,100-499人,2019-09-17 20:17:09,学历不限,技工/操作工,1年以下,辽宁速达出入境服务有限公司,15K-20K,营口,五险一金全勤奖包吃包住房补
新西兰/铲车司机/保姆/钢筋工/木工/瓦工/电焊工/电工/厨师/漆工,其它,100-499人,2019-09-17 20:17:09,学历不限,技工/操作工,1年以下,辽宁速达出入境服务有限公司,15K-20K,三明,五险一金全勤奖包吃包住房补
澳洲/电焊工/油漆工/叉车工/搬运工/司机/厨师/保姆/木工/瓦工,其它,100-499人,2019-09-17 20:06:36,学历不限,技工/操作工,1年以下,辽宁速达出入境服务有限公司,15K-20K,秦皇岛,五险一金全勤奖包吃包住房补
新西兰/铲车司机/保姆/钢筋工/木工/瓦工/电焊工/电工/厨师/漆工,其它,100-499人,2019-09-17 20:17:09,学历不限,技工/操作工,1年以下,辽宁速达出入境服务有限公司,15K-20K,驻马店,五险一金全勤奖包吃包住房补
新西兰/铲车司机/保姆/钢筋工/木工/瓦工/电焊工/电工/厨师/漆工,其它,100-499人,2019-09-17 20:17:09,学历不限,技工/操作工,1年以下,辽宁速达出入境服务有限公司,15K-20K,永济市,五险一金全勤奖包吃包住房补
